input_text,target_text
you eat dinner where,Where are you eating dinner?
she like coffee new,She likes a new coffee
we play game mall,We play a game at the mall
he see shirt beach,He sees a shirt on the beach
they buy book home,They buy a book for home
mom play ball park,Mom plays with the ball in the park
dad watch movie mall,Dad watches a movie at the mall
friend eat lunch city,Your friend eats lunch in the city
teacher go bedroom tired,The teacher goes to the bedroom tiredly
i run store happy,I run to the store happily
you need phone new,You need a new phone
she watch game school,She watches a game at school
he like lunch fun,He likes a fun lunch
we call sister park,We call our sister at the park
they sleep home,They sleep at home
sister see dog kitchen,Sister sees a dog in the kitchen
brother buy coffee store,Brother buys coffee at the store
neighbor play game beach,The neighbor plays a game on the beach
kid eat food mall,The kid eats food at the mall
go office,Go to the office
buy apple home,Buy an apple for home
watch phone park,Watch the phone in the park
help dad city,Help dad in the city
i want book hot,I want a hot book
you go school where,Where are you going to school?
she eat breakfast home,She eats breakfast at home
we see car mall,We see a car at the mall
he run bedroom tired,He runs to the bedroom tiredly
they need lunch new,They need a new lunch
mom watch shirt store,Mom watches the shirt at the store
dad go park fun,Dad goes to the park for fun
friend buy game home,Your friend buys a game for home
teacher eat apple office,The teacher eats an apple in the office
i like dog happy,I like a happy dog
you call brother beach,You call your brother from the beach
she need coffee busy,She needs a quick coffee
he go kitchen happy,He goes to the kitchen happily
we play phone city,We play on the phone in the city
they see book park,They see a book in the park
sister run mall tired,Sister runs to the mall tiredly
brother watch dog home,Brother watches the dog at home
neighbor eat dinner kitchen,The neighbor eats dinner in the kitchen
kid go beach fun,The kid goes to the beach for fun
eat breakfast park,Eat breakfast in the park
buy shirt school,Buy a shirt for school
call mom city,Call mom from the city
watch game mall,Watch a game at the mall
i go home busy,I go home busily
you eat lunch tired,You eat lunch tiredly
she like game new,She likes a new game
we need book store,We need a book at the store
he play ball home,He plays with the ball at home
they run park happy,They run in the park happily
mom see movie beach,Mom sees a movie on the beach
dad buy lunch park,Dad buys lunch at the park
friend go store tired,Your friend goes to the store tiredly
teacher watch dog city,The teacher watches the dog in the city
i eat breakfast mall,I eat breakfast at the mall
you play game happy,You play a game happily
she need shirt home,She needs a shirt at home
he call sister school,He calls his sister at school
we like coffee hot,We like hot coffee
they go bedroom fun,They go to the bedroom for fun
sister buy book city,Sister buys a book in the city
brother eat apple park,Brother eats an apple in the park
neighbor see phone mall,The neighbor sees a phone at the mall
kid run home busy,The kid runs home busily
go park,Go to the park
buy food beach,Buy food at the beach
watch ball home,Watch the ball at home
help mom kitchen,Help mom in the kitchen
i want lunch new,I want a new lunch
you see car where,Where are you seeing the car?
she play ball store,She plays with the ball at the store
we eat food park,We eat food in the park
he go mall tired,He goes to the mall tiredly
they watch game beach,They watch a game on the beach
mom need book school,Mom needs a book for school
dad run kitchen happy,Dad runs to the kitchen happily
friend eat dinner home,Your friend eats dinner at home
teacher buy coffee mall,The teacher buys coffee at the mall
i sleep park tired,I sleep in the park tiredly
you like shirt fun,You like a fun shirt
she see dog city,She sees a dog in the city
he need game new,He needs a new game
we call brother store,We call our brother at the store
they play dog home,They play with the dog at home
sister go park busy,Sister goes to the park busily
brother watch movie mall,Brother watches a movie at the mall
neighbor eat lunch park,The neighbor eats lunch in the park
kid see shirt home,The kid sees a shirt at home
eat apple mall,Eat an apple at the mall
buy phone beach,Buy a phone at the beach
call dad home,Call dad from home
watch movie park,Watch a movie in the park
i go city happy,I go to the city happily
you eat food busy,You eat food busily
she want book tired,She wants a book tiredly
we see lunch kitchen,We see lunch in the kitchen
he play phone park,He plays on the phone in the park
they buy game city,They buy a game in the city
mom watch ball beach,Mom watches the ball on the beach
dad go store fun,Dad goes to the store for fun
friend run beach happy,Your friend runs on the beach happily
teacher eat lunch home,The teacher eats lunch at home
i watch game city,I watch a game in the city
you buy shirt park,You buy a shirt at the park
she go school tired,She goes to school tiredly
he need coffee new,He needs a new coffee
we play ball mall,We play with the ball at the mall
they see dog home,They see a dog at home
sister call mom kitchen,Sister calls mom from the kitchen
brother like book fun,Brother likes a fun book
neighbor go park busy,The neighbor goes to the park busily
kid eat breakfast beach,The kid eats breakfast on the beach
go mall,Go to the mall
buy lunch home,Buy lunch for home
watch phone beach,Watch the phone on the beach
help sister city,Help your sister in the city
i want game hot,I want a hot game
you run home where,Where are you running home?
she see movie mall,She sees a movie at the mall
we eat lunch store,We eat lunch at the store
he play game beach,He plays a game on the beach
they need shirt new,They need a new shirt
mom go home happy,Mom goes home happily
dad watch dog park,Dad watches the dog in the park
friend buy apple school,Your friend buys an apple at school
teacher sleep bedroom,The teacher sleeps in the bedroom
i like lunch busy,I like a quick lunch
you call dad mall,You call dad from the mall
she need phone fun,She needs a fun phone
he go store tired,He goes to the store tiredly
we see book city,We see a book in the city
they run park fun,They run in the park for fun
sister eat food mall,Sister eats food at the mall
brother watch ball home,Brother watches the ball at home
neighbor play game store,The neighbor plays a game at the store
kid go kitchen tired,The kid goes to the kitchen tiredly
eat dinner home,Eat dinner at home
buy coffee park,Buy coffee at the park
call mom beach,Call mom from the beach
watch game city,Watch a game in the city
i go park busy,I go to the park busily
you eat apple happy,You eat an apple happily
she want shirt cold,She wants a cool shirt
we play dog beach,We play with the dog on the beach
he see lunch park,He sees lunch in the park
they buy book mall,They buy a book at the mall
mom run store happy,Mom runs to the store happily
dad eat breakfast home,Dad eats breakfast at home
friend watch movie park,Your friend watches a movie in the park
teacher go city fun,The teacher goes to the city for fun
i buy coffee beach,I buy coffee at the beach
you see game home,You see a game at home
she play ball city,She plays with the ball in the city
he go mall happy,He goes to the mall happily
we need lunch fun,We need a fun lunch
they watch shirt store,They watch a shirt at the store
sister run park busy,Sister runs in the park busily
brother call dad school,Brother calls dad from school
neighbor eat apple mall,The neighbor eats an apple at the mall
kid like book new,The kid likes a new book
go store,Go to the store
buy shirt home,Buy a shirt for home
watch dog where,Watch the dog where?
help mom beach,Help mom at the beach
i want phone busy,I want a quick phone
you eat lunch park,You eat lunch in the park
she see dog school,She sees a dog at school
we go bedroom tired,We go to the bedroom tiredly
he play game mall,He plays a game at the mall
they need coffee hot,They need a hot coffee
mom watch movie home,Mom watches a movie at home
dad run beach fun,Dad runs on the beach for fun
friend buy book city,Your friend buys a book in the city
teacher eat food park,The teacher eats food in the park
i sleep kitchen tired,I sleep in the kitchen tiredly
you like game fun,You like a fun game
she call sister home,She calls her sister at home
he need book beach,He needs a book at the beach
we see shirt mall,We see a shirt at the mall
they go park happy,They go to the park happily
sister watch dog store,Sister watches the dog at the store
brother eat lunch city,Brother eats lunch in the city
neighbor play ball home,The neighbor plays with the ball at home
kid run school busy,The kid runs to school busily
eat breakfast mall,Eat breakfast at the mall
buy phone city,Buy a phone in the city
call dad park,Call dad from the park
watch movie store,Watch a movie at the store
i go home fun,I go home for fun
you eat food happy,You eat food happily
she want lunch new,She wants a new lunch
we play game beach,We play a game on the beach
he see car home,He sees a car at home
they buy shirt park,They buy a shirt at the park
mom run mall tired,Mom runs to the mall tiredly
dad watch game beach,Dad watches a game on the beach
friend go kitchen happy,Your friend goes to the kitchen happily
teacher need book home,The teacher needs a book at home
i like coffee cold,I like a cold coffee
you see phone where,You see the phone where?
she go park fun,She goes to the park for fun
he eat breakfast home,He eats breakfast at home
we watch movie city,We watch a movie in the city
they play ball store,They play with the ball at the store
mom buy lunch beach,Mom buys lunch at the beach
dad see dog mall,Dad sees a dog at the mall
friend run home happy,Your friend runs home happily
teacher call mom park,The teacher calls mom from the park
i need shirt new,I need a new shirt
you play game bedroom,You play a game in the bedroom
she like book busy,She likes a quick book
he go school tired,He goes to school tiredly
we eat lunch kitchen,We eat lunch in the kitchen
they see game park,They see a game in the park
sister buy coffee home,Sister buys coffee for home
brother watch phone beach,Brother watches the phone on the beach
neighbor go city busy,The neighbor goes to the city busily
kid eat apple store,The kid eats an apple at the store
go beach,Go to the beach
buy book mall,Buy a book at the mall
watch lunch where,Watch lunch where?
help sister park,Help your sister in the park
i want game fun,I want a fun game
you see shirt city,You see a shirt in the city
she run mall happy,She runs to the mall happily
we need phone new,We need a new phone
he play ball school,He plays with the ball at school
they watch dog home,They watch the dog at home
mom eat food beach,Mom eats food on the beach
dad go store happy,Dad goes to the store happily
friend buy shirt mall,Your friend buys a shirt at the mall
teacher sleep home,The teacher sleeps at home
i like lunch hot,I like a hot lunch
you call dad beach,You call dad from the beach
she need game park,She needs a game at the park
he see movie city,He sees a movie in the city
we go park busy,We go to the park busily
they eat dinner mall,They eat dinner at the mall
sister watch movie store,Sister watches a movie at the store
brother run park tired,Brother runs in the park tiredly
neighbor buy book home,The neighbor buys a book for home
kid play dog beach,The kid plays with the dog on the beach
eat lunch city,Eat lunch in the city
buy coffee store,Buy coffee at the store
call mom mall,Call mom from the mall
watch game park,Watch a game in the park
i go bedroom happy,I go to the bedroom happily
you eat breakfast busy,You eat breakfast busily
she want phone cold,She wants a cool phone
we see dog store,We see a dog at the store
he buy game park,He buys a game at the park
they watch movie beach,They watch a movie on the beach
mom play ball home,Mom plays with the ball at home
dad eat lunch city,Dad eats lunch in the city
friend go mall tired,Your friend goes to the mall tiredly
teacher see shirt school,The teacher sees a shirt at school
i run beach happy,I run on the beach happily
you need book new,You need a new book
she call brother store,She calls her brother at the store
he like coffee fun,He likes a fun coffee
we play game park,We play a game in the park
they see lunch home,They see lunch at home
sister go kitchen busy,Sister goes to the kitchen busily
brother eat food mall,Brother eats food at the mall
neighbor watch dog city,The neighbor watches the dog in the city
kid buy shirt beach,The kid buys a shirt at the beach
go city,Go to the city
buy lunch park,Buy lunch at the park
watch phone home,Watch the phone at home
help dad school,Help dad at school
i want shirt busy,I want a quick shirt
you see game where,You see the game where?
she eat apple city,She eats an apple in the city
we go store fun,We go to the store for fun
he need phone mall,He needs a phone at the mall
they play dog park,They play with the dog in the park
mom watch game store,Mom watches a game at the store
dad run home happy,Dad runs home happily
friend buy coffee beach,Your friend buys coffee at the beach
teacher eat breakfast home,The teacher eats breakfast at home
i like dog new,I like a new dog
you call sister park,You call your sister from the park
she need lunch tired,She needs lunch tiredly
he go bedroom fun,He goes to the bedroom for fun
we see book beach,We see a book on the beach
they eat lunch school,They eat lunch at school
sister watch shirt mall,Sister watches a shirt at the mall
brother go park busy,Brother goes to the park busily
neighbor run kitchen tired,The neighbor runs to the kitchen tiredly
kid eat food home,The kid eats food at home
eat dinner beach,Eat dinner on the beach
buy shirt store,Buy a shirt at the store
call dad city,Call dad from the city
watch movie mall,Watch a movie at the mall
i go school happy,I go to school happily
you eat lunch fun,You eat lunch for fun
she like game cold,She likes a cool game
we need coffee park,We need coffee at the park
he play ball city,He plays with the ball in the city
they see dog beach,They see a dog on the beach
mom buy game home,Mom buys a game for home
dad watch lunch park,Dad watches lunch in the park
friend run city happy,Your friend runs in the city happily
teacher go mall busy,The teacher goes to the mall busily
i eat food beach,I eat food on the beach
you play phone store,You play on the phone at the store
she need book fun,She needs a fun book
he call mom home,He calls mom from home
we like shirt new,We like a new shirt
they go kitchen tired,They go to the kitchen tiredly
sister see game park,Sister sees a game in the park
brother buy lunch beach,Brother buys lunch at the beach
neighbor eat apple city,The neighbor eats an apple in the city
kid watch movie mall,The kid watches a movie at the mall
go park,Go to the park
buy coffee home,Buy coffee for home
watch dog store,Watch the dog at the store
help sister beach,Help your sister at the beach
i want lunch busy,I want a quick lunch
you see shirt where,You see the shirt where?
she run home happy,She runs home happily
we eat breakfast park,We eat breakfast in the park
he go school fun,He goes to school for fun
they need game new,They need a new game
mom play dog mall,Mom plays with the dog at the mall
dad see book city,Dad sees a book in the city
friend eat lunch home,Your friend eats lunch at home
teacher buy shirt park,The teacher buys a shirt at the park
i sleep city tired,I sleep in the city tiredly
you like coffee fun,You like a fun coffee
she call dad beach,She calls dad from the beach
he need phone school,He needs a phone at school
we watch game store,We watch a game at the store
they see lunch mall,They see lunch at the mall
sister go store happy,Sister goes to the store happily
brother eat dinner park,Brother eats dinner in the park
neighbor run beach busy,The neighbor runs on the beach busily
kid play ball city,The kid plays with the ball in the city
eat lunch home,Eat lunch at home
buy book beach,Buy a book at the beach
call mom park,Call mom from the park
watch shirt city,Watch a shirt in the city
i go mall fun,I go to the mall for fun
you eat apple mall,You eat an apple at the mall
she want game busy,She wants a quick game
we see dog home,We see a dog at home
he play phone beach,He plays on the phone at the beach
they buy lunch store,They buy lunch at the store
mom watch movie park,Mom watches a movie in the park
dad go home happy,Dad goes home happily
friend buy shirt beach,Your friend buys a shirt at the beach
teacher eat lunch mall,The teacher eats lunch at the mall
i watch dog city,I watch a dog in the city
you play ball park,You play with a ball in the park
she go home fun,She goes home for fun
he need book tired,He needs a book tiredly
we call mom store,We call mom from the store
they see game home,They see a game at home
sister run school happy,Sister runs to school happily
brother like lunch new,Brother likes a new lunch
neighbor eat breakfast beach,The neighbor eats breakfast on the beach
kid go mall busy,The kid goes to the mall busily
go kitchen,Go to the kitchen
buy phone home,Buy a phone for home
watch movie where,Watch a movie where?
help brother park,Help your brother in the park
i want coffee fun,I want a fun coffee
you see book beach,You see a book at the beach
she eat dinner city,She eats dinner in the city
we go park tired,We go to the park tiredly
he play game store,He plays a game at the store
they need shirt fun,They need a fun shirt
mom see dog school,Mom sees a dog at school
dad buy lunch mall,Dad buys lunch at the mall
friend run home fun,Your friend runs home for fun
teacher watch ball city,The teacher watches a ball in the city
i like game busy,I like a quick game
you call sister mall,You call your sister from the mall
she need lunch home,She needs lunch at home
he go beach happy,He goes to the beach happily
we eat food store,We eat food at the store
they see shirt park,They see a shirt in the park
sister buy game beach,Sister buys a game at the beach
brother watch movie home,Brother watches a movie at home
neighbor go kitchen tired,The neighbor goes to the kitchen tiredly
kid eat lunch city,The kid eats lunch in the city
eat breakfast home,Eat breakfast at home
buy shirt mall,Buy a shirt at the mall
call dad beach,Call dad from the beach
watch game store,Watch a game at the store
i go city busy,I go to the city busily
you eat apple park,You eat an apple in the park
she want phone new,She wants a new phone
we play dog mall,We play with the dog at the mall
he see lunch beach,He sees lunch at the beach
they buy book city,They buy a book in the city
mom run park fun,Mom runs in the park for fun
dad eat dinner home,Dad eats dinner at home
friend watch shirt school,Your friend watches a shirt at school
teacher go park happy,The teacher goes to the park happily
i buy game mall,I buy a game at the mall
you watch movie park,You watch a movie in the park
she play ball home,She plays with the ball at home
he go store fun,He goes to the store for fun
we need lunch beach,We need lunch at the beach
they see dog city,They see a dog in the city
sister eat food park,Sister eats food in the park
brother call mom beach,Brother calls mom from the beach
neighbor like shirt new,The neighbor likes a new shirt
kid run bedroom happy,The kid runs to the bedroom happily
go school,Go to school
buy coffee beach,Buy coffee at the beach
watch phone mall,Watch the phone at the mall
help sister store,Help your sister at the store
i want book fun,I want a fun book
you see lunch home,You see lunch at home
she go kitchen tired,She goes to the kitchen tiredly
we eat breakfast city,We eat breakfast in the city
